,agreement
URL_of_Anchor,0.9674711437565582
SSLfinal_State,0.8779328478964401
web_traffic,0.7066933773273627
having_Sub_Domain,0.6855912821202744
Links_in_tags,0.6463820768997881
Request_URL,0.6342831298055178
Google_Index,0.5854364540931705
Prefix_Suffix,0.5755766621438263
Statistical_report,0.5685210312075983
Links_pointing_to_page,0.5650132680138804
age_of_domain,0.5637268204432384
having_IP_Address,0.5622795115332428
having_At_Symbol,0.5586612392582542
on_mouseover,0.5568521031207598
DNSRecord,0.5563093622795116
RightClick,0.5545906829488919
port,0.5538670284938941
SFH,0.5532348941130756
Iframe,0.5455450022614202
Submitting_to_email,0.5431931252826775
Favicon,0.5356852103120759
popUpWidnow,0.5349615558570783
double_slash_redirecting,0.5293532338308458
Redirect,0.5293197810789679
HTTPS_token,0.523835368611488
Shortining_Service,0.5193125282677521
Abnormal_URL,0.5188602442333785
Page_Rank,0.5179556761646313
URL_Length,0.4856227106227106
Domain_registeration_length,0.37521483491632746
