feature_a,feature_b,pearson_r
Favicon,popUpWidnow,0.94
Shortining_Service,double_slash_redirecting,0.843
Favicon,port,0.804
port,Submitting_to_email,0.799
double_slash_redirecting,HTTPS_token,0.761
Shortining_Service,HTTPS_token,0.758
port,popUpWidnow,0.749
Shortining_Service,Abnormal_URL,0.739
on_mouseover,popUpWidnow,0.734
double_slash_redirecting,Abnormal_URL,0.724
HTTPS_token,Abnormal_URL,0.716
Favicon,on_mouseover,0.706
port,Iframe,0.687
Favicon,Submitting_to_email,0.668
on_mouseover,Iframe,0.659
RightClick,Iframe,0.656
Submitting_to_email,popUpWidnow,0.629
popUpWidnow,Iframe,0.629
Favicon,Iframe,0.628
port,on_mouseover,0.623
Domain_registeration_length,Request_URL,-0.61
double_slash_redirecting,Redirect,-0.591
Submitting_to_email,Iframe,0.577
SSLfinal_State,URL_of_Anchor,0.536
Shortining_Service,Redirect,-0.535
Submitting_to_email,on_mouseover,0.532
