,gain
URL_of_Anchor,0.4425174170530763
SSLfinal_State,0.16859959842439123
Prefix_Suffix,0.04966186844868672
Links_in_tags,0.04503633321366755
SFH,0.025835397846360846
Request_URL,0.022318689257246074
having_Sub_Domain,0.021521160367396208
age_of_domain,0.02136304557638245
Page_Rank,0.020805576300917297
web_traffic,0.018123068673352238
having_IP_Address,0.017564064360415108
Domain_registeration_length,0.01662333702509881
Google_Index,0.01523133555548029
DNSRecord,0.014426327696392563
URL_Length,0.009702998353539626
HTTPS_token,0.009371999326042133
popUpWidnow,0.009015834768529785
Links_pointing_to_page,0.007960436935068375
Submitting_to_email,0.007873586741609935
Redirect,0.00786721153921414
Favicon,0.007520053807650954
Shortining_Service,0.007464111932809095
having_At_Symbol,0.006847329483711042
Statistical_report,0.006331453306978248
Abnormal_URL,0.005555544498003034
Iframe,0.004500165838337011
double_slash_redirecting,0.003605570041310592
on_mouseover,0.0031493945859648593
port,0.0026675199938207233
RightClick,0.0009395690485466464
